"","X","x1","x2","x3","p1","p2","p3","ev","ev_var","coefvar","entropy","std_prb","std_out","type","rare","HorL"
"74","S19G2",6,12,0,0.71,0.147894736842105,0.142105263157895,6.03473684210526,10.2857142857143,0.531445692970807,0.54616675900277,0.326215745841182,6,"w_lvar",FALSE,"H"
"75","S19G3",0,-1,-18,0.53,0.207368421052632,0.262631578947368,-4.93473684210526,61.6173984745413,1.59069780345135,0.392877008310249,0.172545175210604,10.1159939369957,"l_hvar",FALSE,"H"
"76","S19G4",-4,-12,0,0.59,0.207894736842105,0.202105263157895,-4.85473684210526,15.66687280973,0.815315062016223,0.43216675900277,0.222298701828685,6.11010092660779,"l_lvar",FALSE,"H"
"77","S20G1",3,24,0,0.65,0.165789473684211,0.184210526315789,5.92894736842105,66.0467073427309,1.37071760456904,0.483919667590028,0.274396004213522,13.076696830622,"w_hvar",FALSE,"H"
"78","S20G2",4,12,0,0.23,0.433684210526316,0.336315789473684,6.12421052631579,28.8369408369408,0.876848334858172,0.354090304709141,0.101874853069361,6.11010092660779,"w_lvar",FALSE,"H"
"79","S20G3",0,-22,-18,0.77,0.182105263157895,0.0478947368421052,-4.86842105263158,79.5473098330241,1.83199640350784,0.62835623268698,0.384072193313736,11.7189305541646,"l_hvar",TRUE,"H"
"80","S20G4",-5,-13,0,0.41,0.23,0.36,-5.04,23.9579797979798,0.971168440042887,0.3506,0.0929157324317757,6.557438524302,"l_lvar",FALSE,"H"
"81","S21G1",0,1,18,0.2,0.494736842105263,0.305263157894737,5.98947368421053,63.9259946402804,1.3349041583092,0.377950138504155,0.149359976517844,10.1159939369957,"w_hvar",FALSE,"H"
"82","S21G2",7,23,0,0.77,0.03,0.2,6.08,16.5920428777572,0.669956108720905,0.6338,0.387599449604012,11.7898261225516,"w_lvar",TRUE,"H"
"83","S21G3",-1,-23,0,0.65,0.181578947368421,0.168421052631579,-4.82631578947369,74.788975383968,1.79185580078934,0.483836565096953,0.274320279749438,13,"l_hvar",FALSE,"H"
"84","S21G4",-2,-12,0,0.29,0.379473684210526,0.330526315789474,-5.13368421052632,29.5765821480107,1.05936310283964,0.337347922437673,0.0448028408939645,6.42910050732864,"l_lvar",FALSE,"H"
"85","S22G1",1,0,18,0.47,0.227368421052632,0.302631578947368,5.91736842105263,64.1480107194393,1.35351473117926,0.364182271468144,0.124195286011206,10.1159939369957,"w_hvar",FALSE,"H"
"86","S22G2",4,2,18,0.74,0.096842105263158,0.163157894736842,6.09052631578947,27.9934034219749,0.868706412722002,0.583598891966759,0.353741119064087,8.71779788708135,"w_lvar",TRUE,"H"
"87","S22G3",-1,-23,0,0.62,0.18421052631579,0.19578947368421,-4.85684210526316,74.4423830138116,1.77646292711466,0.45666703601108,0.24832811226052,13,"l_hvar",FALSE,"H"
"88","S22G4",-4,-12,0,0.5,0.263157894736842,0.236842105263158,-5.15789473684211,19.3477633477633,0.852791589584948,0.375346260387812,0.144936067033845,6.11010092660779,"l_lvar",FALSE,"H"
"89","S23G1",0,1,18,0.47,0.213684210526316,0.316315789473684,5.90736842105263,68.1502782931354,1.39746120336905,0.366616620498615,0.129002494482242,10.1159939369957,"w_hvar",FALSE,"H"
"90","S23G2",5,13,0,0.71,0.176842105263158,0.113157894736842,5.84894736842105,13.2319109461967,0.62191863668079,0.54817783933518,0.327753341708248,6.557438524302,"w_lvar",FALSE,"H"
