,gid,domain,pairtype,ev_diff,L_id,L_x1,L_x2,L_x3,L_p1,L_p2,L_p3,L_ev,L_ev_var,H_id,H_x1,H_x2,H_x3,H_p1,H_p2,H_p3,H_ev,H_ev_var,prop_H_all,prop_H_all_old,prop_H_all_yng,prop_H_g1,prop_H_g1_old,prop_H_g1_yng,prop_H_g2,prop_H_g2_old,prop_H_g2_yng,ss_all,ss_all_old,ss_all_yng,ss_med_all,ss_med_old,ss_med_yng,ss_g1,ss_g1_old,ss_g1_yng,ss_g2,ss_g2_old,ss_g2_yng,sf_all,sf_all_old,sf_all_yng,sf_g1,sf_g1_old,sf_g1_yng,sf_g2,sf_g2_old,sf_g2_yng
26,S17G3,loss,HH-LL,0.840526315789,19.0,-6.0,-12.0,0.0,0.53,0.229473684211,0.240526315789,-5.93368421053,16.8831168831,14.0,0.0,-1.0,-18.0,0.47,0.261578947368,0.268421052632,-5.09315789474,61.0713254999,0.602941176471,0.571428571429,0.636363636364,0.375,0.333333333333,0.428571428571,0.673076923077,0.653846153846,0.692307692308,27.9142857143,27.0857142857,28.7428571429,19.5,15.0,20.0,14.0,15.3333333333,12.2857142857,32.037037037,31.1538461538,32.8571428571,0.271554006102,0.291994400905,0.250512423217,0.861486314611,0.898148148148,0.814349671493,0.093461233722,0.082171949936,0.104332395887
48,S2G3,loss,HH-LL,0.845263157895,19.0,-6.0,-12.0,0.0,0.53,0.236842105263,0.233157894737,-6.02210526316,16.8979591837,7.0,-1.0,-23.0,0.0,0.71,0.194210526316,0.095789473684,-5.17684210526,76.6866625438,0.628571428571,0.542857142857,0.714285714286,0.625,0.666666666667,0.571428571429,0.62962962963,0.5,0.75,29.0428571429,29.4571428571,28.6285714286,21.0,20.0,24.0,16.0,17.6666666667,13.8571428571,32.9074074074,33.5384615385,32.3214285714,0.298188803671,0.297996110431,0.298381496911,0.842714646465,0.811851851852,0.882395382395,0.136847813213,0.12012296917,0.152378025539
34,S15G3,loss,HH-LL,0.908421052632,16.0,-5.0,-13.0,0.0,0.5,0.273684210526,0.226315789474,-6.05789473684,22.0867862296,2.0,-2.0,-24.0,0.0,0.68,0.157894736842,0.162105263158,-5.14947368421,65.5815295815,0.636363636364,0.515151515152,0.757575757576,0.4,0.375,0.428571428571,0.705882352941,0.56,0.846153846154,24.2714285714,21.8857142857,26.6571428571,20.0,18.0,21.0,15.0,14.2222222222,16.0,27.0185185185,24.5384615385,29.3214285714,0.254841319396,0.268934915446,0.240747723346,0.824812848522,0.797570850202,0.859838274933,0.085960866321,0.085945553414,0.085975085449
5,S20G3,loss,HH-LL,0.942105263158,19.0,-6.0,-12.0,0.0,0.56,0.204210526316,0.235789473684,-5.81052631579,15.7625231911,8.0,0.0,-22.0,-18.0,0.77,0.182105263158,0.047894736842,-4.86842105263,79.547309833,0.603174603175,0.516129032258,0.6875,0.533333333333,0.5,0.571428571429,0.625,0.521739130435,0.72,25.6285714286,21.7142857143,29.5428571429,17.0,16.0,20.0,15.375,15.3333333333,15.4285714286,28.6666666667,23.9230769231,33.0714285714,0.306128186711,0.341912429953,0.272512685483,0.837231648726,0.887931034483,0.779289493575,0.143545494257,0.151992915334,0.136072775612
7,S11G3,loss,HH-LL,0.948947368421,16.0,-5.0,-13.0,0.0,0.68,0.187368421053,0.132631578947,-5.83578947368,14.4281591424,7.0,-1.0,-23.0,0.0,0.65,0.184210526316,0.165789473684,-4.88684210526,74.788975384,0.666666666667,0.628571428571,0.705882352941,0.666666666667,0.777777777778,0.5,0.666666666667,0.576923076923,0.75,27.0571428571,25.7142857143,28.4,19.0,17.0,20.0,16.0625,16.7777777778,15.1428571429,30.3148148148,28.8076923077,31.7142857143,0.281853512834,0.304091861827,0.259615163841,0.854020979021,0.851592851593,0.857142857143,0.112322411742,0.114572288447,0.110233240515
22,S13G3,loss,HH-LL,0.957894736842,19.0,-6.0,-12.0,0.0,0.65,0.178947368421,0.171052631579,-6.04736842105,12.618556701,2.0,-2.0,-24.0,0.0,0.65,0.157894736842,0.192105263158,-5.08947368421,66.6593730276,0.768115942029,0.714285714286,0.823529411765,0.625,0.666666666667,0.571428571429,0.811320754717,0.730769230769,0.888888888889,24.4571428571,21.6857142857,27.2285714286,17.5,17.0,20.0,16.8125,13.6666666667,20.8571428571,26.7222222222,24.4615384615,28.8214285714,0.283438486807,0.357102942179,0.209774031436,0.847849462366,0.944444444444,0.723655913978,0.11620560516,0.153792422164,0.0813035608
64,S4G3,loss,HH-LL,0.981052631579,10.0,-5.0,-1.0,-18.0,0.68,0.178947368421,0.141052631579,-6.11789473684,25.5788497217,2.0,-2.0,-24.0,0.0,0.8,0.147368421053,0.052631578947,-5.13684210526,60.1937744795,0.647058823529,0.676470588235,0.617647058824,0.666666666667,0.875,0.428571428571,0.641509433962,0.615384615385,0.666666666667,29.7857142857,27.9142857143,31.6571428571,24.0,22.0,25.0,18.875,19.0,18.7142857143,33.0185185185,31.0,34.8928571429,0.273079392826,0.276712960665,0.269445824987,0.794116661703,0.731811263318,0.874223602484,0.118697979825,0.119178932823,0.118251380613
30,S7G3,loss,HH-LL,0.987368421053,9.0,-3.0,-13.0,-18.0,0.74,0.148421052632,0.111578947368,-6.15789473684,29.9525870954,7.0,-1.0,-23.0,0.0,0.74,0.192631578947,0.067368421052,-5.17052631579,76.4021851165,0.68115942029,0.647058823529,0.714285714286,0.6,0.625,0.571428571429,0.703703703704,0.653846153846,0.75,29.1,26.7428571429,31.4571428571,21.5,22.0,21.0,13.625,14.3333333333,12.7142857143,33.6851851852,31.0384615385,36.1428571429,0.256049035928,0.237646963705,0.274451108151,0.812490530303,0.680538720539,0.982142857143,0.091177482039,0.084338278647,0.097528170902
43,S14G3,loss,HH-LL,1.10526315789,19.0,-6.0,-12.0,0.0,0.71,0.14789473684,0.14210526315,-6.0347368421,10.2857142857,7.0,-1.0,-23.0,0.0,0.62,0.18736842105,0.19263157894,-4.9294736842,74.4423830138,0.69565217391,0.61764705882,0.77142857142,0.5625,0.44444444444,0.71428571428,0.7358490566,0.68,0.78571428571,24.8714285714,23.1428571429,26.6,18.0,18.0,29.0,15.625,13.6666666667,18.1428571429,27.6111111111,26.4230769231,28.7142857143,0.28112776496,0.27008459031,0.29217093961,0.87083333333,0.79259259259,0.97142857142,0.10640018915,0.08921643567,0.12235653165
3,S18G3,loss,HH-LL,1.11578947368,15.0,-7.0,-13.0,0.0,0.44,0.23368421052,0.32631578947,-6.1178947368,23.6866625438,7.0,-1.0,-23.0,0.0,0.62,0.19052631578,0.18947368421,-5.0021052631,77.5289631004,0.75,0.58823529411,0.91176470588,0.6875,0.55555555555,0.85714285714,0.76923076923,0.6,0.92592592592,22.2571428571,19.2285714286,25.2857142857,17.0,16.0,18.0,13.6875,15.2222222222,11.7142857143,24.7962962963,20.6153846154,28.6785714286,0.28115573335,0.3133583057,0.24895316101,0.86667727187,0.90227920227,0.82090336134,0.10766787009,0.10950107227,0.10596561092
